2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '胡老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '谢老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '张老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '李老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '肖老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '唐老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '肖老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '覃老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '吴老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '梁老师', 'title': '商务经理', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '张老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '孟老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '曹老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '张老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '赵老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '张老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '赵老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '赵老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '闻老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '周老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '陈老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '康老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '曹老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '江老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '唐老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '孔老师', 'title': '高级讲师', 'hello': 'world'}
